"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"196","2018-09-16",65,71,77,91,73,69,71,83,83,85,87,92,58,59,91,54,84,79,72,76,82,53,59,81,71
"197","2018-09-23",63,70,75,89,74,72,68,79,81,91,87,94,59,60,91,53,84,83,72,76,83,51,64,82,67
"198","2018-09-30",64,67,72,92,76,67,72,77,88,85,85,94,57,57,91,52,84,84,69,73,79,53,65,80,83
"199","2018-10-07",63,69,76,91,78,72,71,75,87,91,87,93,59,61,91,53,87,88,70,75,84,54,66,83,73
"200","2018-10-14",63,69,72,87,81,64,68,77,79,95,86,94,62,57,93,53,85,88,69,75,85,54,68,81,71
"201","2018-10-21",62,71,79,100,83,69,69,72,82,99,85,92,68,58,93,55,88,89,73,74,85,53,69,83,63
"202","2018-10-28",59,69,74,85,79,68,67,72,80,93,83,90,60,55,88,51,82,87,65,73,82,54,66,79,67
"203","2018-11-04",60,68,68,83,82,64,65,70,76,85,81,92,60,49,85,48,78,82,75,75,81,54,66,77,70
"204","2018-11-11",63,71,81,90,91,72,71,73,84,93,88,93,60,55,90,54,85,87,69,77,86,55,67,82,64
"205","2018-11-18",58,67,74,80,79,67,64,68,70,86,75,84,56,49,85,52,79,81,60,66,78,56,59,75,53
"206","2018-11-25",63,69,83,88,89,80,69,72,89,89,89,92,60,55,93,53,89,89,76,77,85,55,74,83,62
"207","2018-12-02",64,71,79,83,91,80,71,69,84,95,85,92,61,56,92,52,90,88,76,76,84,55,78,83,77
"208","2018-12-09",60,70,76,80,86,79,67,69,87,90,86,88,58,53,84,50,84,77,69,72,79,54,72,80,59
"209","2018-12-16",55,69,77,68,69,62,63,66,68,84,85,77,54,48,83,46,77,67,42,66,72,53,54,75,58
"210","2018-12-23",35,54,56,55,43,46,51,51,39,61,52,50,40,35,57,37,61,47,22,53,56,50,34,45,35
"211","2018-12-30",45,58,62,60,52,53,62,60,50,72,64,64,43,39,61,36,63,48,33,67,58,67,42,51,49
"212","2019-01-06",61,66,74,75,63,63,76,78,74,92,92,93,62,48,88,46,79,65,47,73,76,100,53,78,83
